Division,Line,Station_Name,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,ADA,ADA_Notes,Free_Crossover,Entrance_Type,Entry,Exit_Only,Entrance_Staffing,North_South_Street,East_West_Street,Corner,Latitude,Longitude
IND,6th Avenue,47-50 Sts-Rockefeller Ctr,B,D,F,M,,,,,,,,TRUE,,TRUE,Stair,YES,,NONE,6th Av,47th St,SW,40.7591515,-73.981098
IND,6th Avenue,57 St,F,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,6th Av,56th St,SW,40.764022,-73.97740200000001
IND,6th Avenue,B'way-Lafayette St,B,D,F,M,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Lafayette St,Houston St,SW,40.725243,-73.99609749999999
IND,6th Avenue,Delancey St-Essex St,F,J,M,Z,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Essex St,Delancey St,SW,40.718491,-73.9881735
IND,6th Avenue,East Broadway,F,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Rutgers St,Broadway,NW,40.7135655,-73.99013500000001
IND,6th Avenue,Grand St,B,D,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Chrystie St,Grand St,NW,40.71821,-73.9936645
IND,6th Avenue,York St,F,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Jay St,York St,SW,40.70138,-73.986655
IND,8th Avenue,103 St,B,C,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Central Park W,103rd St,NW,40.796263,-73.96161
IND,8th Avenue,116 St,B,C,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,Frederick Douglass Blvd,116th St,SW,40.8044055,-73.9553335
IND,8th Avenue,125 St,A,B,C,D,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Saint Nicholas Av,125th St,SW,40.811258,-73.95211850000001
IND,8th Avenue,135 St,B,C,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,Saint Nicholas Av,135th St,SW,40.8177125,-73.947719
IND,8th Avenue,14 St,A,C,E,L,,,,,,,,TRUE,,TRUE,Stair,YES,,FULL,8th Av,14th St,NW,40.7405055,-74.0019695
IND,8th Avenue,145 St,A,B,C,D,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Saint Nicholas Av,145th St,SW,40.824706500000005,-73.94423549999999
IND,8th Avenue,155 St,C,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Saint Nicholas Av,155th St,SW,40.8309415,-73.94136900000001
